Station ID,Cycle0 (Bef),Cycle0 (Aft),Cycle1 (Bef),Cycle1 (Aft),Cycle2 (Bef),Cycle2 (Aft),Cycle3 (Bef),Cycle3 (Aft),Cycle4 (Bef),Cycle4 (Aft),Cycle5 (Bef),Cycle5 (Aft),Cycle6 (Bef),Cycle6 (Aft),Cycle7 (Bef),Cycle7 (Aft),Cycle8 (Bef),Cycle8 (Aft),Cycle9 (Bef),Cycle9 (Aft),Cycle10 (Bef),Cycle10 (Aft),Cycle11 (Bef),Cycle11 (Aft)
191,-19,-19,-19,-19,-18,-18,-14,-14,-8,-8,-5,-5,-4,-4,0,0,8,0,-2,-2,-17,-17,-26,-26
192,-9,-9,-10,-10,-12,-12,-11,-11,-11,-11,-20,-20,-15,-15,-15,-15,-7,-7,1,1,0,0,-5,-5
193,-41,-41,-42,-42,-42,-42,-41,-41,-42,-42,-89,-89,-90,-90,-89,-74,-48,-19,5,5,1,1,2,2
199,-15,-15,-16,-16,-15,-15,-9,-9,-10,-10,-37,-37,-32,-32,-28,-28,-14,-14,-21,-21,-16,-16,-19,-19
200,-8,-8,-9,-9,-9,-9,-4,-4,0,1,-4,-1,-1,1,-1,-2,-5,-4,-2,-2,-7,-7,-7,-7
202,-24,-24,-22,-22,-21,-21,-12,-12,-3,-3,-33,-33,-35,-34,-34,-34,-24,-24,-7,-7,-18,-18,-23,-23
203,-9,-9,-9,-9,-7,-7,-2,-5,-2,-2,-20,-20,-19,-19,-19,-19,-12,-12,2,2,0,0,1,1
204,-13,-13,-15,-15,-14,-14,-10,-10,-4,-3,-10,-2,-7,-5,-3,-1,3,-3,3,3,0,0,-5,-5
206,-23,-23,-21,-21,-22,-22,-19,-19,-11,-11,-21,-21,-22,-22,-17,-17,-5,-5,-4,-4,-8,-8,-12,-12
207,-12,-12,-12,-12,-12,-12,-12,-12,-10,-10,-12,-12,-12,-12,-14,-14,-14,-14,-11,-11,-12,-12,-13,-13
208,-14,-14,-14,-14,-14,-14,-12,-12,-6,-6,-2,-1,-1,-1,-2,-2,-2,0,-3,-3,-3,-3,-3,-3
209,-21,-21,-21,-21,-22,-22,-20,-20,-19,-19,-27,-27,-22,-22,-22,-22,-19,-19,-15,-15,-16,-16,-16,-16
210,-14,-14,-14,-14,-14,-14,-12,-12,-8,-8,-25,-25,-28,-28,-30,-30,-21,-21,-11,-11,-19,-19,-24,-24
211,-23,-23,-22,-22,-22,-22,-21,-21,-20,-20,-32,-32,-34,-34,-35,-35,-31,-31,-26,-26,-28,-28,-25,-25
212,-11,-11,-11,-11,-11,-11,-10,-10,-9,-9,-11,-11,-11,-11,-11,-11,-3,-3,-3,-3,-4,-4,-3,-3
213,-24,-24,-23,-23,-23,-23,-19,-19,-13,-13,-24,-24,-15,-15,-23,-23,-14,-14,-18,-18,-18,-18,-19,-19
214,-21,-21,-21,-21,-20,-20,-2,-22,11,3,5,0,4,0,-2,-4,-2,5,-32,-32,-39,-38,-37,-37
215,-37,-37,-36,-36,-36,-36,-31,-30,-38,-38,-84,-84,-80,-80,-82,-82,-55,-55,-32,-32,-35,-35,-34,-34
216,-20,-20,-21,-21,-19,-19,-14,-14,-3,-3,-6,-6,-7,-7,-9,-9,-11,-11,-7,-7,-13,-13,-19,-19
217,-10,-10,-11,-11,-10,-14,-1,-1,0,0,-9,-9,-22,-22,-21,-21,-12,-12,-36,-36,-39,-39,-35,-35
218,-14,-14,-14,-14,-13,-13,-11,-11,-13,-13,-28,-28,-26,-26,-26,-26,-15,-15,-9,-9,-9,-9,-13,-13
219,-19,-19,-21,-21,-20,-20,-15,-14,-4,-3,-2,0,-1,-1,-5,-5,1,-2,1,1,-16,-16,-24,-24
220,-18,-18,-18,-18,-18,-18,-16,-16,-14,-14,-17,-17,-16,-16,-18,-18,-17,-17,-17,-17,-19,-19,-20,-20
221,-11,-11,-11,-11,-11,-11,-9,-9,-11,-11,-21,-21,-20,-20,-22,-22,-8,-8,2,2,-4,-4,-4,-4
222,-29,-29,-29,-29,-28,-28,-28,-28,-27,-27,-28,-28,-32,-32,-31,-31,-32,-24,-26,-26,-28,-28,-30,-30
223,-16,-16,-16,-16,-16,-16,-10,-10,3,0,-8,-8,-6,-6,-4,-3,-1,-1,-5,-5,-21,-21,-23,-23
224,-10,-10,-12,-12,-12,-12,-10,-10,-2,-3,0,-1,0,0,4,-1,2,3,-7,-7,-17,-17,-19,-19
225,-20,-20,-21,-21,-21,-21,-17,-17,-8,-8,-14,-14,-15,-15,-15,-15,-13,-13,-5,-5,-13,-13,-17,-17
226,-15,-15,-15,-15,-15,-15,-15,-15,-19,-19,-36,-36,-34,-34,-35,-35,-25,-25,-16,-16,-11,-11,-14,-14
227,-16,-16,-19,-19,-20,-20,-16,-12,-2,0,-1,-1,2,0,-2,0,3,0,-6,-6,-11,-11,-12,-12
228,-28,-28,-28,-28,-29,-29,-29,-29,-50,-50,-98,-98,-94,-94,-101,-101,-84,-84,-59,-59,-67,-67,-63,-63
229,-15,-15,-13,-13,-13,-13,-10,-4,3,16,-10,-10,-10,-10,-7,-14,5,-1,1,1,-1,-1,-5,-5
230,-20,-20,-22,-22,-22,-22,-19,-18,-17,4,-9,-9,-12,-12,-16,-2,4,-6,2,2,4,1,1,1
231,-20,-20,-19,-19,-19,-19,-18,-18,-18,-18,-15,-15,-20,-20,-16,-16,-13,-13,-9,-9,-12,-12,-14,-14
232,-11,-11,-11,-11,-11,-11,-11,-11,-13,-13,-26,-26,-25,-25,-23,-23,-15,-15,-11,-11,-10,-10,-10,-10
233,-14,-14,-15,-15,-15,-15,-15,-15,-19,-19,-38,-38,-43,-43,-49,-49,-39,-39,-24,-24,-31,-31,-30,-30
234,-16,-16,-17,-17,-17,-17,-13,-10,0,0,3,1,3,1,-3,-2,-7,-3,-3,-3,-13,-13,-18,-18
235,-25,-25,-24,-24,-24,-24,-22,-22,-13,0,3,0,3,0,-2,-2,-2,-2,-2,-2,-12,-12,-14,-14
236,-20,-20,-22,-22,-22,-22,-21,-21,-20,-20,-21,-21,-19,-19,-18,-18,-15,-14,-2,-2,-1,-1,-4,-4
237,-21,-21,-24,-24,-24,-24,-18,-18,-13,-13,-28,-28,-29,-29,-25,-25,-14,-11,-7,-7,-16,-16,-23,-23
238,-22,-22,-22,-22,-22,-22,-20,-20,-17,-17,-18,-18,-19,-19,-19,-19,-18,-18,-19,-19,-22,-22,-23,-23
239,-17,-17,-17,-17,-18,-18,-15,-15,-5,-5,-27,-27,-20,-20,-17,-17,-6,-4,-3,-3,-9,-9,-10,-10
240,-9,-9,-8,-8,-8,-8,-8,-1,1,4,-7,1,2,2,1,-2,2,-3,1,1,-4,-4,-3,-3
242,-16,-16,-16,-16,-17,-17,-15,-15,-8,-8,-11,-11,-11,-11,-15,-15,-11,-11,-8,-8,-11,-11,-12,-12
243,-16,-16,-20,-20,-19,-19,-13,-12,3,-1,-2,-2,2,-1,2,-2,1,2,-5,-5,-15,-15,-25,-25
244,-11,-11,-13,-13,-12,-12,-12,-12,-15,-15,-24,-24,-21,-21,-21,-21,-10,-10,-2,-2,-6,-6,-7,-7
245,-20,-20,-20,-20,-20,-20,-16,-10,-6,-6,-2,-2,-2,-2,-3,0,0,1,3,3,1,1,-1,-1
246,-27,-27,-32,-32,-33,-33,-30,-30,-26,-26,-64,-64,-63,-63,-67,-67,-43,-42,-37,-37,-34,-34,-40,-40
247,-35,-35,-35,-35,-36,-36,-35,-35,-33,-33,-28,-28,-25,-25,-27,-27,-25,-25,-22,-22,-25,-25,-27,-27
248,-18,-18,-18,-18,-18,-18,-15,-15,-12,-12,-5,-5,5,-3,0,-2,10,6,-7,-7,-10,-10,-16,-16
249,-28,-28,-28,-28,-28,-28,-26,-26,-24,-24,-30,-30,-30,-30,-33,-33,-27,-27,-25,-25,-28,-28,-31,-31
250,-7,-7,-7,-7,-7,-7,-6,-6,-6,-6,-10,-10,-13,-13,-11,-11,-11,-10,-7,-7,-11,-11,-10,-10
251,-22,-22,-22,-22,-24,-24,-18,-18,-33,-33,-89,-89,-84,-84,-88,-88,-66,-66,-56,-56,-64,-64,-68,-68
252,-19,-19,-16,-16,-16,-11,-9,-14,-2,6,-8,3,1,2,3,-1,4,4,-5,-5,-16,-16,-13,-13
253,-21,-21,-21,-21,-21,-21,-14,-14,3,2,3,0,-2,0,1,0,0,1,-5,-5,-15,-15,-17,-17
254,-10,-10,-11,-11,-11,-11,-7,-9,0,0,3,0,0,0,-3,-6,3,-4,3,3,-6,-6,-5,-5
255,-15,-15,-16,-16,-15,-15,-8,-9,3,-1,-6,-6,-7,-7,-8,-8,-6,-6,-12,-12,-25,-25,-30,-30
256,-10,-10,-10,-10,-10,-10,-10,-10,-14,-14,-24,-24,-23,-23,-24,-24,-19,-19,-12,-12,-12,-12,-12,-12
257,-11,-11,-11,-11,-12,-12,-12,-12,-10,-10,-9,-9,-13,-13,-12,-12,-15,-15,-17,-17,-17,-17,-11,-11
258,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-19,-19,-25,-25,-30,-30,-24,-24,-17,-17,-12,-12,-8,-8
260,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-27,-27,-25,-25,-25,-25,-16,-16,-6,-6,-9,-9,-11,-11
261,-10,-10,-11,-11,-12,-12,-9,-9,-3,0,2,1,0,1,1,1,1,0,1,1,-7,-7,-9,-9
262,-24,-24,-24,-24,-24,-24,-22,-22,-15,6,-2,-2,-2,-2,-5,-5,0,0,1,1,-6,-6,-8,-8
263,-14,-14,-14,-14,-14,-14,-11,-11,-17,-17,-32,-32,-27,-27,-30,-30,-11,-11,-11,-11,-16,-16,-16,-16
264,-13,-13,-14,-14,-13,-13,-9,-9,0,0,-17,-17,-18,-18,-13,-4,2,-7,1,1,-5,-5,-9,-9
265,-11,-11,-12,-12,-12,-12,-6,-5,4,0,3,-1,0,0,-1,0,3,3,-3,-3,-15,-15,-17,-17
266,-27,-27,-27,-27,-28,-28,-30,-30,-26,-26,-43,-43,-57,-57,-64,-64,-62,-61,-43,-38,-27,-27,-25,-25
267,-15,-15,-15,-15,-15,-15,-10,-9,0,0,-4,-4,-2,-2,-3,-3,4,-2,-3,-3,-7,-7,-14,-14
268,-20,-20,-22,-22,-22,-22,-15,-15,-2,-2,-2,-2,-2,-2,0,-5,-1,-1,-6,-6,-8,-8,-9,-9
269,-31,-31,-31,-31,-30,-30,-27,-27,-13,-13,-6,-6,-5,-5,-6,-6,-9,-8,-2,-2,-17,-17,-20,-20
270,-20,-20,-23,-23,-23,-23,-14,-17,4,4,-14,-14,-14,-14,-15,-8,-7,-7,-18,-18,-29,-29,-30,-30
271,-22,-22,-22,-22,-22,-22,-21,-21,-21,-21,-15,-15,-13,-13,-11,-11,-10,-10,-13,-13,-15,-15,-15,-15
272,-13,-13,-14,-14,-15,-15,-6,-16,3,11,7,0,-6,-6,-4,-5,-5,-4,-13,-13,-18,-18,-23,-23
273,-25,-25,-23,-23,-23,-23,-18,-18,-1,8,-5,1,2,1,0,-3,1,1,-9,-9,-32,-32,-34,-34
274,-25,-25,-25,-25,-26,-26,-25,-25,-20,-20,-20,-20,-16,-16,-15,-15,-12,-12,-11,-11,-15,-15,-20,-20
275,-13,-13,-13,-13,-13,-13,-12,-12,-10,-10,-29,-29,-27,-27,-26,-26,-16,-16,-8,-8,-17,-17,-18,-18
276,-16,-16,-14,-14,-14,-14,-14,-14,-17,-17,-16,-16,-15,-15,-14,-14,-2,-5,2,1,1,1,0,0
277,-11,-11,-11,-11,-11,-11,-8,-8,-6,-5,-1,-1,0,1,-1,0,-3,-3,-4,-4,-9,-9,-10,-10
278,-10,-10,-10,-10,-9,-9,-6,-6,6,6,-11,-11,-12,-12,-12,-12,-2,-3,-4,-1,-6,-6,-19,-19
279,-17,-17,-17,-17,-17,-15,-7,-6,0,4,4,1,2,1,1,-4,3,4,2,2,-21,-21,-21,-21
280,-7,-7,-7,-7,-7,-7,-6,-6,-3,-3,-4,-4,-3,-3,-1,-1,-1,-2,1,1,2,2,1,1
281,-12,-12,-12,-12,-12,-12,-10,-10,-15,-15,-37,-37,-37,-37,-38,-38,-27,-27,-17,-17,-24,-24,-26,-26
282,-28,-28,-29,-29,-30,-30,-25,-25,-13,-13,-14,-14,-11,-11,-13,-13,-5,-5,-8,-8,-9,-9,-14,-14
283,-11,-11,-11,-11,-11,-11,-11,-11,-12,-12,-22,-22,-21,-21,-19,-19,-15,-15,-9,-9,-8,-8,-7,-7
284,-13,-13,-15,-15,-16,-16,-14,-7,-1,2,-3,0,-3,0,-1,0,3,2,4,4,-2,-2,-2,-2
286,-24,-24,-24,-24,-24,-24,-19,-19,-13,-9,-1,-1,-2,-2,-2,-2,-2,-2,2,2,-4,-4,-8,-8
287,-16,-16,-16,-16,-16,-16,-16,-2,3,4,-11,-1,-1,-1,-1,-4,4,-2,5,0,3,1,1,1
288,-22,-22,-23,-23,-22,-22,-20,-12,-9,-9,-18,-18,-17,-17,-18,-11,-1,-1,0,0,-6,-6,-10,-10
289,-10,-10,-10,-10,-10,-10,-10,-10,-9,-9,-21,-21,-22,-22,-22,-22,-18,-18,-18,-18,-16,-16,-12,-12
290,-9,-9,-10,-10,-9,-13,-2,-8,0,-7,2,0,3,-1,1,-4,2,5,-6,-6,-17,-17,-20,-20
291,-22,-22,-22,-22,-22,-22,-19,-15,-8,-8,-11,-11,-9,-9,-8,-8,-3,-3,0,0,-8,-8,-10,-10
292,-11,-11,-11,-11,-11,-11,-8,-8,-11,-11,-19,-19,-18,-18,-20,-20,-13,-13,0,0,-9,-9,-13,-13
293,-17,-17,-17,-17,-17,-17,-14,-14,-10,-10,-13,-13,-13,-13,-15,-15,-12,-12,-14,-14,-17,-17,-17,-17
294,-11,-11,-10,-10,-10,-10,-4,-8,-2,-2,3,0,-1,-1,-5,-2,-2,-2,1,1,-13,-13,-16,-16
295,-17,-17,-18,-18,-18,-18,-15,-15,-8,-8,-7,-7,-6,-6,0,-3,1,0,-1,-1,-6,-6,-8,-8
296,-12,-12,-12,-12,-12,-12,-9,-9,-3,-3,-2,-2,-2,-2,-4,-4,2,0,0,0,-9,-9,-9,-9
297,-11,-11,-11,-11,-11,-11,-9,-9,-5,-5,-6,-6,-5,-5,-5,-2,-2,0,-2,-2,-3,-3,-4,-4
298,-13,-13,-14,-14,-13,-13,-1,-14,-1,-1,-6,-6,-7,-7,-7,-7,0,1,2,2,-23,-23,-27,-27
299,-13,-13,-13,-13,-13,-13,-12,-12,-10,-10,-8,-8,-9,-9,-7,-7,-4,-4,-4,-4,-7,-7,-8,-8
301,-16,-16,-15,-15,-15,-15,-15,-15,-14,-14,-27,-27,-35,-35,-34,-34,-23,-23,-17,-17,-16,-16,-18,-18
302,-19,-19,-22,-22,-22,-22,-18,-18,-19,-19,-18,-18,-18,-18,-20,-20,-19,-19,-15,-15,-20,-20,-19,-19
303,-19,-19,-19,-19,-18,-18,-15,-15,-9,-9,-12,-12,0,-1,7,-4,-4,-4,-2,-2,-13,-13,-19,-19
305,-10,-10,-10,-10,-10,-10,-9,-9,-6,-6,-1,-1,1,1,0,-1,1,0,-6,-6,-13,-13,-14,-14
306,-11,-11,-10,-10,-10,-10,-9,-9,-8,-8,-22,-22,-20,-20,-19,-19,-11,-11,-8,-8,-14,-14,-17,-17
307,-16,-16,-16,-16,-15,-15,-5,-14,2,0,7,-3,0,-2,-2,-1,4,5,-4,-4,-27,-27,-33,-33
308,-14,-14,-14,-14,-14,-14,-8,-9,4,4,-4,-4,-4,-4,-4,-4,-4,-4,-3,-3,-18,-18,-23,-23
309,-27,-27,-28,-28,-28,-28,-28,0,-2,2,-12,-12,-19,-19,-21,-21,-15,-9,-1,-1,-6,0,1,0
310,-13,-13,-13,-13,-13,-13,-8,-8,0,2,3,0,0,0,-1,-1,-1,-1,-8,-8,-17,-17,-19,-19
312,-14,-14,-14,-14,-13,-13,-10,-10,-3,-3,-9,-9,-11,-11,-9,-9,-7,-7,-9,-9,-17,-17,-17,-17
313,-26,-26,-25,-25,-25,-25,-24,-24,-25,-25,-48,-48,-48,-48,-50,-50,-34,-34,-22,-22,-24,-24,-26,-26
314,-25,-25,-25,-25,-25,-25,-19,-14,-6,-4,-7,-7,-7,-7,-11,-11,-11,-10,-10,-10,-22,-22,-26,-26
315,-11,-11,-11,-11,-11,-11,-10,-10,-11,-11,-8,-8,-5,-5,-4,-4,-7,-7,-3,-3,-7,-7,-6,-6
317,-22,-22,-22,-22,-22,-22,-19,-19,-17,-17,-9,-9,-6,-6,-6,-6,-6,-6,-9,-9,-13,-13,-16,-16
318,-12,-12,-13,-13,-13,-13,-13,-13,-18,-18,-25,-25,-24,-24,-18,-18,-11,-11,-7,-7,-17,-17,-16,-16
319,-14,-14,-14,-14,-14,-14,-10,-10,0,0,-20,-20,-16,-16,-19,-19,-9,-5,-4,-4,-7,-7,-10,-10
320,-17,-17,-18,-18,-17,-17,-12,-12,-6,-6,-18,-18,-19,-19,-20,-16,-10,-8,-4,-4,-12,-12,-11,-11
321,-16,-16,-17,-17,-16,-16,-4,-8,7,5,-2,-2,-3,-3,-7,-7,-1,-1,-9,-9,-28,-28,-33,-33
322,-18,-18,-18,-18,-18,-18,-14,-14,-10,-10,-5,-5,-5,-5,-5,-5,-3,1,-2,-2,-5,-5,-6,-6
323,-16,-16,-16,-16,-16,-16,-15,-15,-15,-15,-39,-39,-37,-37,-38,-38,-33,-33,-20,-20,-16,-16,-18,-18
324,-9,-9,-11,-11,-12,-12,-7,-10,-1,-1,-11,-10,-7,-7,-9,-6,-2,-2,5,5,-5,-5,-7,-7
325,-11,-11,-12,-12,-11,-11,-11,-11,-11,-11,-25,-25,-23,-23,-21,-21,-16,-16,-4,-4,-6,-6,-6,-6
326,-16,-16,-17,-17,-16,-16,-7,-11,10,8,1,-1,1,1,2,-5,-4,-4,-3,-3,-14,-14,-17,-17
327,-15,-15,-15,-15,-15,-15,-11,-11,-5,0,1,0,0,0,0,0,-1,0,2,2,0,0,-2,-2
328,-15,-15,-14,-14,-14,-14,-12,-12,-7,-6,-9,-7,-7,-6,-6,-1,2,-1,-4,-4,-6,-6,-10,-10
329,-16,-16,-16,-16,-16,-16,-12,-12,-11,-11,-10,-10,-13,-13,-10,-10,-11,-11,-16,-16,-19,-19,-22,-22
330,-23,-23,-23,-23,-23,-23,-17,-14,-2,1,-1,0,3,1,-3,-8,1,-4,-4,-4,-13,-13,-18,-18
331,-21,-21,-21,-21,-22,-22,-18,-18,-23,-23,-50,-50,-45,-45,-52,-52,-26,-26,-15,-15,-11,-11,-11,-11
332,-14,-14,-14,-14,-15,-15,-15,-15,-10,-10,-11,-10,-7,-7,-4,-4,-1,-1,-5,-5,-6,-6,-9,-9
333,-24,-24,-26,-26,-25,-25,-23,-17,-8,-6,-10,1,-1,1,-1,-1,-4,-4,1,1,-6,-6,-3,-3
334,-7,-7,-7,-7,-7,-1,1,-6,0,1,2,0,0,0,2,-1,1,1,-3,-3,-6,-6,-8,-8
335,-22,-22,-22,-22,-21,-21,-21,-21,-20,-20,-49,-46,-44,-39,-37,-27,-15,-9,2,2,5,0,2,1
336,-12,-12,-12,-12,-9,-7,-2,-10,9,4,2,0,2,1,-4,0,0,0,-21,-21,-21,-21,-22,-22
337,-11,-11,-11,-11,-12,-12,-10,-10,-7,-7,-8,-7,-7,-7,-7,-4,-5,-5,-2,-2,-6,-6,-7,-7
338,-15,-15,-16,-16,-16,-16,-15,-15,-13,6,-15,-15,-13,-13,-12,-12,-2,-6,3,3,3,2,2,1
339,-17,-17,-17,-17,-17,-17,-14,-14,-5,-5,-1,-1,-1,0,-3,0,2,-1,-1,-1,-5,-5,-7,-7
340,-11,-11,-11,-11,-11,-11,-4,-4,-12,-12,-19,-19,-16,-16,-18,-18,-9,-9,3,3,-9,-9,-10,-10
341,-14,-14,-15,-15,-15,-15,-4,-13,1,1,-13,-13,-15,-15,-17,-17,-1,4,-3,-3,-25,-25,-19,-19
343,-25,-25,-25,-25,-25,-25,-22,-22,-14,-14,-21,-21,-24,-24,-22,-22,-20,-20,-22,-22,-27,-27,-29,-29
344,-10,-10,-11,-11,-11,-11,-8,-8,-3,-3,-7,-7,-12,-12,-13,-7,-5,-4,4,4,0,0,-1,-1
345,-23,-23,-23,-23,-23,-23,-19,-19,-15,-15,-31,-31,-29,-29,-29,-29,-19,-19,-3,-3,-3,-3,-5,-5
347,-10,-10,-11,-11,-12,-12,-8,-3,4,8,-6,1,4,1,-3,-2,1,1,6,7,3,3,1,1
348,-11,-11,-11,-11,-11,-11,-11,-11,-17,-17,-25,-25,-22,-22,-22,-22,-9,-9,-7,-7,-10,-10,-12,-12
349,-12,-12,-16,-16,-16,-16,-16,-16,-23,-23,-26,-26,-25,-25,-23,-23,-13,-13,-5,-5,-11,-11,-12,-12
350,-14,-14,-13,-13,-13,-13,-11,-11,-4,-4,-10,-10,-7,-7,-15,-15,-4,-4,-6,-6,-13,-13,-16,-16
351,-19,-19,-20,-20,-20,-20,-16,-13,1,1,-5,-5,-4,-4,-1,-2,-1,0,2,2,-11,-11,-15,-15
352,-13,-13,-13,-13,-11,-11,-10,-10,-1,-1,2,0,1,1,0,0,1,2,0,0,-4,-4,-5,-5
353,-11,-11,-10,-10,-10,-10,-8,-8,-6,-6,-10,-10,-10,-10,-13,-13,-9,-9,-11,-11,-17,-17,-20,-20
354,-24,-24,-25,-25,-25,-25,-22,-1,-2,9,-21,-21,-15,-15,-18,-11,-4,-3,-2,-2,-3,-3,-5,-5
355,-14,-14,-14,-14,-14,-14,-13,-13,-10,-10,-10,-8,-6,-6,-6,-5,-5,-5,-5,-5,-9,-9,-15,-15
356,-9,-9,-9,-9,-9,-9,-6,-6,-4,-4,-9,-9,-13,-13,-11,-11,-4,-4,-2,-2,-6,-6,-16,-16
357,-20,-20,-22,-22,-22,-22,-21,-21,-22,-22,-48,-48,-46,-46,-44,-44,-31,-31,-22,-22,-21,-21,-24,-24
358,-13,-13,-15,-15,-14,-14,-13,-13,-11,-11,-32,-32,-30,-30,-29,-29,-19,-19,-3,-3,-8,-8,-10,-10
359,-12,-12,-13,-13,-13,-13,-12,-12,-12,-12,-29,-29,-32,-32,-32,-32,-20,-20,-15,-15,-14,-14,-13,-13
360,-18,-18,-18,-18,-18,-18,-17,-11,-15,-15,-43,-43,-44,-44,-47,-47,-30,-30,-27,-27,-30,-30,-31,-31
361,-38,-38,-38,-38,-36,-40,-1,-54,5,-17,15,-5,-6,-3,-1,-1,0,0,-99,-99,-151,-151,-162,-162
362,-39,-39,-40,-40,-39,-39,-36,-36,-28,-28,-28,-27,-27,-25,-25,-12,-7,-7,-3,-3,-7,-7,-11,-11
363,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-7,-7,-9,-9,-9,-9,-8,-8,-7,-7,-6,-6,-9,-9
364,-28,-28,-28,-28,-28,-28,-28,-28,-32,-32,-70,-70,-68,-68,-71,-71,-48,-48,-41,-41,-34,-34,-37,-37
365,-32,-32,-32,-32,-32,-32,-26,-22,-4,-2,-5,-3,-2,-2,-2,-6,1,-1,-3,-3,-10,-10,-16,-16
366,-18,-18,-18,-18,-18,-18,-18,-18,-19,-19,-44,-44,-43,-43,-44,-44,-37,-37,-25,-25,-31,-31,-28,-28
367,-11,-11,-11,-11,-11,-11,-10,-10,-3,-3,-7,1,0,1,0,1,-1,-1,2,2,0,0,0,0
368,-17,-17,-18,-18,-18,-18,-16,-16,-17,-17,-25,-25,-26,-26,-24,-24,-19,-19,-12,-12,-14,-14,-19,-19
370,-14,-14,-14,-14,-14,-14,-13,-2,1,0,-3,1,-3,0,1,1,-1,-1,1,1,-2,-2,-2,-2
371,-15,-15,-15,-15,-15,-15,-12,-4,-3,1,-1,0,1,0,0,-1,0,0,-6,-6,-8,-8,-7,-7
372,-16,-16,-16,-16,-16,-16,-16,-16,-20,-20,-39,-39,-35,-35,-39,-39,-30,-30,-12,-12,-9,-9,-12,-12
373,-12,-12,-11,-11,-11,-11,-11,-11,-13,-13,-34,-34,-37,-37,-35,-35,-27,-27,-24,-24,-31,-31,-31,-31
374,-25,-25,-26,-26,-26,-35,0,-37,36,-100,22,-5,-8,-3,-3,2,-5,-5,-116,-116,-219,-219,-228,-228
375,-12,-12,-12,-12,-12,-12,-9,-9,-5,-5,-6,-6,-2,-1,0,0,-2,-2,-1,-1,-4,-4,-8,-8
376,-16,-16,-16,-16,-16,-16,-14,-14,-13,-13,-36,-36,-33,-33,-32,-32,-21,-21,-12,-12,-15,-15,-16,-16
377,-9,-9,-10,-10,-10,-2,1,-5,4,1,1,1,1,1,1,1,1,1,-6,-6,-12,-12,-12,-12
378,-28,-28,-28,-28,-29,-29,-30,-30,-26,-26,-38,-38,-42,-42,-34,-34,-24,-24,-15,-15,-23,-23,-25,-25
379,-14,-14,-16,-16,-16,-16,-9,-9,-5,-5,-11,-11,-11,-11,-11,-11,-12,-12,-10,-10,-16,-16,-22,-22
380,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-34,-34,-33,-33,-29,-29,-20,-20,-13,-13,-21,-21,-19,-19
381,-8,-8,-8,-8,-8,-8,-7,-7,-3,-3,-13,-13,-15,-15,-15,-15,-6,-6,-2,-2,-5,-5,-7,-7
382,-10,-10,-10,-10,-10,-10,-10,-10,-11,-11,-20,-20,-22,-22,-22,-22,-14,-14,-9,-9,-10,-10,-9,-9
383,-10,-10,-4,-4,-4,-4,-3,-3,-3,-3,-12,-12,-18,-18,-17,-17,-11,-11,-1,-1,2,1,-1,-1
384,-10,-10,-10,-10,-10,-10,-8,-8,-6,-6,-5,-5,-5,-5,-7,-7,-4,-4,-2,-2,-5,-5,-7,-7
386,-10,-10,-9,-9,-8,-8,-7,-7,-6,-6,-20,-20,-19,-19,-18,-18,-11,-11,-9,-9,-10,-9,-9,-9
387,-20,-20,-21,-21,-20,-20,-16,-16,-12,-12,-16,-16,-16,-16,-11,-11,-9,-9,-8,-8,-12,-12,-17,-17
388,-8,-8,-9,-9,-9,-9,-8,-8,-18,3,3,0,5,0,3,-7,0,-2,7,7,4,2,-2,2
389,-12,-12,-12,-12,-12,-12,-13,-13,-13,-13,-17,-17,-19,-19,-20,-17,-16,-14,-8,-8,-7,-7,-4,-4
390,-28,-28,-28,-28,-28,-28,-26,-26,-22,-22,-27,-27,-30,-30,-30,-30,-29,-29,-28,-28,-30,-30,-32,-32
392,-13,-13,-13,-13,-13,-13,-12,-12,-13,-13,-27,-27,-23,-23,-21,-21,-2,-3,8,3,-2,-2,-5,-5
393,-10,-10,-10,-10,-10,-10,-4,-5,2,2,-22,-22,-22,-22,-22,-22,-6,-6,6,6,-2,-2,1,1
394,-12,-12,-12,-12,-12,-12,-10,-8,-2,0,-5,-5,-6,-6,-5,-5,-5,-5,-7,-7,-14,-14,-18,-18
395,-10,-10,-10,-10,-10,-10,-8,-8,-8,-8,-11,-11,-10,-10,-8,-8,-3,-3,2,2,-5,-5,-3,-3
396,-11,-11,-11,-11,-11,-11,-10,-10,-3,-3,-8,-8,-7,-4,-1,0,0,0,0,0,-4,-4,-6,-6
397,-11,-11,-12,-12,-11,-11,-7,-6,0,0,3,0,-1,-1,-5,-3,3,0,1,1,-12,-12,-23,-23
398,-21,-21,-21,-21,-21,-21,-18,-18,-17,-17,-18,-18,-14,-14,-15,-15,-16,-16,-16,-16,-18,-18,-19,-19
399,-15,-15,-14,-14,-14,-14,-14,-14,-10,-10,-17,-17,-20,-20,-21,-21,-23,-23,-20,-20,-27,-27,-28,-28
400,-18,-18,-18,-18,-18,-18,-16,-16,-17,-17,-41,-41,-40,-40,-33,-33,-21,-21,-6,-6,-15,-15,-17,-17
401,-15,-15,-16,-16,-16,-16,-10,-10,3,3,-1,-1,-3,-3,-1,-1,2,-4,6,6,-8,-8,-10,-10
