result,value
Cycles,12.0
Hours,24.0
Moved Bikes,32951.0
Rebalanced Bikes,2361.0
Time Average Cost,366.636
Time Average Conditional Drift,10861.227
Objective Function,10934.555
Demand Supply Gap Decrement,522.0
