Station ID,Cycle0 (Bef),Cycle0 (Aft),Cycle1 (Bef),Cycle1 (Aft),Cycle2 (Bef),Cycle2 (Aft),Cycle3 (Bef),Cycle3 (Aft)
1,-13,-13,-13,-13,-13,-13,-11,-11
2,-25,-25,-25,-25,-25,-25,-23,-23
3,-22,-22,-22,-22,-22,-22,-19,-19
4,-15,-15,-15,-15,-15,-3,1,-11
5,-17,-17,-18,-18,-18,-18,-15,-15
6,-12,-12,-12,-12,-12,-12,-10,-10
7,-11,-11,-11,-11,-11,-11,-6,-6
8,-12,-12,-12,-12,-12,-12,-12,-12
9,-12,-12,-14,-14,-14,-14,-12,-12
10,-12,-12,-12,-12,-12,-12,-12,-12
11,-15,-15,-16,-16,-16,-16,-15,-5
12,-33,-33,-34,-34,-34,-34,-34,-34
13,-14,-14,-14,-14,-14,-14,-12,-12
14,-33,-33,-30,-30,-28,-47,-1,-69
15,-18,-18,-18,-18,-18,-18,-17,-17
16,-14,-14,-13,-13,-14,-14,-11,-8
17,-18,-18,-18,-18,-18,-18,-15,-15
18,-17,-17,-18,-18,-18,-18,-17,-17
19,-21,-21,-21,-21,-21,-21,-19,-10
20,-19,-19,-19,-19,-19,-19,-8,-10
21,-11,-11,-11,-11,-11,-11,-10,-10
22,-12,-12,-13,-13,-14,-14,-13,-13
23,-11,-11,-7,-7,-7,-7,-6,-6
24,-23,-23,-23,-23,-23,-23,-22,-22
25,-22,-22,-22,-22,-21,-21,-5,-17
26,-14,-14,-16,-16,-15,-15,-12,-5
27,-22,-22,-23,-23,-23,-23,-22,-22
28,-12,-12,-13,-13,-13,-13,-10,-10
29,-15,-15,-15,-15,-15,-15,-10,-10
30,-15,-15,-18,-18,-19,-19,-12,-8
31,-24,-24,-25,-25,-28,-28,-21,-21
32,-29,-29,-30,-30,-30,-30,-25,-25
33,-11,-11,-11,-11,-11,-11,-9,-9
34,-11,-11,-11,-11,-11,-11,-8,-6
36,-18,-18,-17,-17,-17,-17,-13,-10
37,-10,-10,-10,-10,-10,-10,-7,-7
38,-11,-11,-11,-11,-11,-11,-12,-12
39,-24,-24,-24,-24,-24,-24,-19,-19
40,-10,-10,-9,-9,-9,-9,-6,-6
42,-19,-19,-19,-19,-18,-18,-10,-15
43,-11,-11,-12,-12,-12,-12,-10,-10
44,-14,-14,-14,-14,-14,-14,-14,-14
45,-18,-18,-18,-18,-17,-17,0,-19
46,-11,-11,-11,-11,-11,-11,1,-10
47,-12,-12,-13,-13,-13,-13,-5,-6
48,-17,-17,-18,-18,-17,-17,-15,-15
49,-11,-11,-11,-11,-11,-11,-10,-10
50,-17,-17,-16,-16,-16,-16,-15,-15
51,-20,-20,-20,-20,-20,-20,-15,-15
52,-11,-11,-12,-12,-11,-11,-9,-9
53,-12,-12,-12,-12,-12,-12,-12,-12
54,-18,-18,-18,-18,-18,-18,-17,-17
55,-23,-23,-24,-24,-24,-24,-10,-11
56,-11,-11,-11,-11,-11,-11,-9,-9
57,-21,-21,-23,-23,-23,-23,-21,-21
58,-13,-13,-12,-12,-13,-13,-10,-10
60,-12,-12,-12,-12,-12,-12,-10,-10
61,-23,-23,-25,-25,-25,-25,-21,-21
62,-16,-16,-16,-16,-17,-17,-13,-13
63,-18,-18,-18,-18,-19,-19,-15,-7
64,-16,-16,-18,-18,-21,-21,-20,-11
65,-10,-10,-11,-11,-11,-11,-7,-8
66,-27,-27,-28,-28,-28,-28,-27,-27
67,-19,-19,-18,-18,-18,-18,-16,-16
68,-18,-18,-18,-18,-18,-18,-16,-16
70,-16,-16,-16,-16,-16,-16,-16,0
71,-23,-23,-23,-23,-23,-23,-24,-24
72,-11,-11,-11,-11,-11,-11,-9,-9
73,-23,-23,-25,-25,-25,-25,-21,-21
74,-9,-9,-9,-9,-9,-9,-3,-8
75,-13,-13,-13,-13,-13,-13,-11,-9
76,-14,-14,-14,-14,-15,-15,-12,-12
77,-17,-17,-16,-16,-16,-16,-15,-15
78,-10,-10,-12,-12,-12,-12,-9,-7
80,-30,-30,-31,-31,-31,-31,-27,-27
81,-12,-12,-13,-13,-13,-13,-10,-10
82,-10,-10,-10,-10,-10,-10,-10,-10
84,-17,-17,-17,-17,-17,-17,-16,-16
85,-28,-28,-28,-28,-28,-28,-21,-15
86,-16,-16,-17,-17,-17,-17,-11,-11
87,-10,-10,-11,-11,-11,-7,-4,-4
88,-16,-16,-17,-17,-17,-17,-17,-17
89,-11,-11,-12,-12,-12,-12,-10,-6
90,-18,-18,-19,-19,-19,-19,-18,-18
91,-14,-14,-14,-14,-14,-14,-8,-8
92,-28,-28,-28,-28,-32,-32,-29,-29
93,-25,-25,-25,-25,-25,-25,-19,-17
94,-19,-19,-21,-21,-20,-20,-13,-13
95,-9,-9,-9,-9,-9,-9,-2,-2
96,-18,-18,-17,-17,-18,-18,-16,-16
97,-11,-11,-11,-11,-8,-8,-5,-5
98,-36,-36,-39,-39,-39,-39,-33,-28
99,-10,-10,-11,-11,-10,-10,-9,-9
100,-15,-15,-15,-15,-15,-15,-13,-13
101,-15,-15,-14,-14,-14,-14,-6,-6
102,-11,-11,-10,-10,-10,-10,-6,-1
103,-12,-12,-12,-12,-12,-12,-6,-6
104,-22,-22,-22,-22,-21,-21,-3,-21
105,-18,-18,-21,-21,-21,-21,-17,-17
106,-14,-14,-14,-14,-14,-14,-13,-13
107,-13,-13,-14,-14,-14,-14,-7,-9
108,-20,-20,-20,-20,-20,-20,-20,-20
109,-37,-37,-39,-39,-39,-39,-39,-39
110,-11,-11,-11,-11,-11,-11,-7,-7
111,-19,-19,-19,-19,-19,-19,-21,-21
112,-29,-29,-29,-29,-29,-29,-29,-28
113,-12,-12,-14,-14,-14,-14,-12,-12
114,-15,-15,-15,-15,-15,-15,-12,-5
115,-23,-23,-22,-22,-22,-22,-21,-21
116,-13,-13,-14,-14,-14,-14,-15,-15
117,-17,-17,-17,-17,-17,-17,-11,-11
118,-9,-9,-9,-9,-9,-9,-7,-7
119,-12,-12,-12,-12,-12,-12,-6,-6
120,-11,-11,-11,-11,-11,-11,-10,-10
121,-15,-15,-15,-15,-15,-15,-12,-12
122,-15,-15,-16,-16,-16,-16,-14,-14
123,-12,-12,-12,-12,-12,-12,-8,-8
124,-14,-14,-14,-14,-14,-14,-12,-12
125,-13,-13,-14,-14,-14,-14,-12,-12
126,-36,-36,-36,-36,-36,-36,-34,-34
127,-11,-11,-11,-11,-11,-11,-10,-10
128,-15,-15,-15,-15,-15,-15,-10,-7
129,-12,-12,-12,-12,-12,-12,-12,-12
130,-15,-15,-15,-15,-15,-15,-13,0
131,-10,-10,-11,-11,-11,-11,-8,-8
132,-22,-22,-20,-20,-21,-21,-18,-18
133,-12,-12,-12,-12,-12,-12,-10,-10
134,-14,-14,-14,-14,-14,-14,-12,-12
135,-14,-14,-14,-14,-14,-14,-11,-11
136,-21,-21,-22,-22,-22,-22,-22,-22
138,-13,-13,-12,-12,-12,-12,-9,-9
139,-12,-12,-12,-12,-12,-12,-9,-9
140,-23,-23,-23,-23,-23,-23,-20,-20
141,-20,-20,-20,-20,-20,-20,-21,-21
142,-15,-15,-16,-16,-16,-16,-11,-11
143,-16,-16,-16,-16,-15,-15,-14,-14
144,-31,-31,-35,-35,-34,-34,-27,-27
145,-16,-16,-16,-16,-16,-16,-15,-15
146,-24,-24,-24,-24,-24,-24,-22,-22
148,-11,-11,-12,-12,-12,-12,-9,-9
149,-12,-12,-12,-12,-12,-12,-9,-9
150,-19,-19,-18,-18,-18,-18,-17,-17
151,-18,-18,-18,-18,-18,-18,-14,-14
152,-14,-14,-14,-14,-14,-14,-7,-8
153,-18,-18,-20,-20,-20,-20,-11,-11
154,-24,-24,-24,-24,-20,-34,-2,-106
155,-13,-13,-14,-14,-14,-14,-5,-5
156,-23,-23,-23,-23,-23,-23,-20,-20
157,-24,-24,-23,-23,-23,-23,-21,-21
158,-12,-12,-11,-11,-10,-10,-7,-7
159,-27,-27,-27,-27,-27,-27,-26,-26
160,-14,-14,-14,-14,-14,-14,-13,-13
161,-11,-11,-12,-12,-12,-12,-9,-8
162,-13,-13,-15,-15,-16,-16,-15,-15
163,-17,-17,-17,-17,-16,-16,-14,-14
164,-11,-11,-11,-11,-11,-11,-8,-9
165,-10,-10,-10,-10,-10,-10,-8,-8
166,-17,-17,-18,-18,-18,-18,-16,-16
167,-13,-13,-13,-13,-13,-13,-3,-11
168,-13,-13,-12,-12,-12,-12,-11,-11
169,-11,-11,-12,-12,-12,-12,-7,-9
170,-21,-21,-21,-21,-21,-21,-17,-17
171,-9,-9,-9,-9,-9,-9,-7,-7
172,-13,-13,-13,-13,-13,-13,-13,-13
173,-9,-9,-10,-10,-9,-8,0,-7
174,-24,-24,-25,-25,-25,-25,-25,-25
175,-18,-18,-18,-18,-18,-18,-16,-16
176,-16,-16,-16,-16,-16,-16,-13,-13
177,-16,-16,-17,-17,-17,-17,-10,-16
178,-13,-13,-14,-14,-14,-14,-6,-8
180,-11,-11,-11,-11,-11,-11,-10,-10
181,-14,-14,-14,-14,-14,-14,-13,-13
182,-12,-12,-12,-12,-12,-12,-7,-11
183,-16,-16,-16,-16,-15,-15,-9,-9
184,-23,-23,-23,-23,-23,-23,-22,-22
185,-9,-9,-9,-9,-8,-8,-1,-7
186,-11,-11,-11,-11,-11,-9,1,-10
191,-19,-19,-19,-19,-18,-18,-14,-14
192,-9,-9,-10,-10,-12,-12,-11,-11
193,-41,-41,-42,-42,-42,-42,-41,-41
199,-15,-15,-16,-16,-15,-15,-9,-9
200,-8,-8,-9,-9,-9,-9,-4,-4
202,-24,-24,-22,-22,-21,-21,-12,-12
