result,value
Cycle Count,2.0
Simulation Hours,6.0
Moved Bike Total Count,1462.0
Rebalanced Bike Total Count,36.0
Time Average Cost,0.0
Time Average Conditional Drift,4591.5
Objective Function,4591.5
