Station ID,Time,Out,In,Delta
0,2017-08-13 06:00:00,19,11,-8
0,2017-08-13 08:00:00,60,78,18
0,2017-08-13 10:00:00,169,195,26
0,2017-08-13 12:00:00,307,271,-36
0,2017-08-13 14:00:00,293,276,-17
0,2017-08-13 16:00:00,242,234,-8
0,2017-08-13 18:00:00,164,209,45
0,2017-08-13 20:00:00,107,126,19
0,2017-08-13 22:00:00,67,53,-14
0,2017-08-14 00:00:00,25,19,-6
0,2017-08-14 02:00:00,4,2,-2
0,2017-08-14 04:00:00,8,2,-6
0,2017-08-14 06:00:00,144,147,3
0,2017-08-14 08:00:00,438,407,-31
0,2017-08-14 10:00:00,105,116,11
0,2017-08-14 12:00:00,159,115,-44
0,2017-08-14 14:00:00,124,90,-34
0,2017-08-14 16:00:00,321,245,-76
0,2017-08-14 18:00:00,318,358,40
0,2017-08-14 20:00:00,121,139,18
0,2017-08-14 22:00:00,51,46,-5
0,2017-08-15 00:00:00,26,10,-16
0,2017-08-15 02:00:00,9,3,-6
0,2017-08-15 04:00:00,12,8,-4
0,2017-08-15 06:00:00,190,166,-24
0,2017-08-15 08:00:00,444,434,-10
0,2017-08-15 10:00:00,113,102,-11
0,2017-08-15 12:00:00,139,125,-14
0,2017-08-15 14:00:00,131,106,-25
0,2017-08-15 16:00:00,349,254,-95
0,2017-08-15 18:00:00,369,403,34
0,2017-08-15 20:00:00,130,146,16
0,2017-08-15 22:00:00,77,75,-2
0,2017-08-16 00:00:00,22,21,-1
0,2017-08-16 02:00:00,9,3,-6
0,2017-08-16 04:00:00,10,6,-4
0,2017-08-16 06:00:00,189,183,-6
0,2017-08-16 08:00:00,449,419,-30
0,2017-08-16 10:00:00,121,116,-5
0,2017-08-16 12:00:00,119,95,-24
0,2017-08-16 14:00:00,130,103,-27
0,2017-08-16 16:00:00,329,282,-47
0,2017-08-16 18:00:00,357,436,79
0,2017-08-16 20:00:00,131,130,-1
0,2017-08-16 22:00:00,61,69,8
0,2017-08-17 00:00:00,16,25,9
0,2017-08-17 02:00:00,5,3,-2
0,2017-08-17 04:00:00,8,3,-5
0,2017-08-17 06:00:00,123,127,4
0,2017-08-17 08:00:00,385,357,-28
0,2017-08-17 10:00:00,104,87,-17
0,2017-08-17 12:00:00,116,105,-11
0,2017-08-17 14:00:00,116,105,-11
0,2017-08-17 16:00:00,278,258,-20
0,2017-08-17 18:00:00,314,370,56
0,2017-08-17 20:00:00,113,116,3
0,2017-08-17 22:00:00,79,60,-19
0,2017-08-18 00:00:00,30,15,-15
0,2017-08-18 02:00:00,13,5,-8
0,2017-08-18 04:00:00,6,6,0
0,2017-08-18 06:00:00,140,123,-17
0,2017-08-18 08:00:00,415,380,-35
0,2017-08-18 10:00:00,86,116,30
0,2017-08-18 12:00:00,144,123,-21
0,2017-08-18 14:00:00,102,77,-25
0,2017-08-18 16:00:00,228,198,-30
0,2017-08-18 18:00:00,239,295,56
0,2017-08-18 20:00:00,90,108,18
0,2017-08-18 22:00:00,71,70,-1
0,2017-08-19 00:00:00,77,43,-34
0,2017-08-19 02:00:00,41,17,-24
0,2017-08-19 04:00:00,18,8,-10
0,2017-08-19 06:00:00,20,16,-4
0,2017-08-19 08:00:00,55,61,6
0,2017-08-19 10:00:00,162,144,-18
0,2017-08-19 12:00:00,201,202,1
0,2017-08-19 14:00:00,205,179,-26
0,2017-08-19 16:00:00,195,188,-7
0,2017-08-19 18:00:00,150,162,12
0,2017-08-19 20:00:00,73,113,40
0,2017-08-19 22:00:00,79,67,-12
0,2017-08-20 00:00:00,63,42,-21
0,2017-08-20 02:00:00,33,12,-21
0,2017-08-20 04:00:00,14,7,-7
0,2017-08-20 06:00:00,10,14,4
0,2017-08-20 08:00:00,53,61,8
0,2017-08-20 10:00:00,171,165,-6
0,2017-08-20 12:00:00,221,277,56
0,2017-08-20 14:00:00,281,234,-47
0,2017-08-20 16:00:00,189,179,-10
0,2017-08-20 18:00:00,116,105,-11
0,2017-08-20 20:00:00,34,50,16
0,2017-08-20 22:00:00,17,22,5
0,2017-08-21 00:00:00,12,11,-1
0,2017-08-21 02:00:00,2,3,1
0,2017-08-21 04:00:00,5,4,-1
0,2017-08-21 06:00:00,117,86,-31
0,2017-08-21 08:00:00,331,304,-27
0,2017-08-21 10:00:00,78,70,-8
0,2017-08-21 12:00:00,84,73,-11
0,2017-08-21 14:00:00,103,85,-18
0,2017-08-21 16:00:00,297,209,-88
0,2017-08-21 18:00:00,267,336,69
0,2017-08-21 20:00:00,67,95,28
0,2017-08-21 22:00:00,41,45,4
0,2017-08-22 00:00:00,15,11,-4
0,2017-08-22 02:00:00,6,4,-2
0,2017-08-22 04:00:00,4,6,2
0,2017-08-22 06:00:00,174,154,-20
