Station ID,Cycle0 (Bef),Cycle0 (Aft),Cycle1 (Bef),Cycle1 (Aft),Cycle2 (Bef),Cycle2 (Aft),Cycle3 (Bef),Cycle3 (Aft)
126,-35,-35,-36,-36,-36,-36,-35,-35
127,-11,-11,-11,-11,-11,-11,-9,-9
128,-15,-15,-15,-15,-15,-15,-12,-10
129,-11,-11,-12,-12,-12,-12,-11,-11
130,-15,-15,-16,-16,-16,-16,-13,-2
131,-11,-11,-10,-10,-11,-11,-9,-9
132,-21,-21,-17,-17,-21,-21,-18,-18
133,-12,-12,-12,-12,-12,-12,-12,-12
134,-13,-13,-14,-14,-14,-14,-11,-11
135,-14,-14,-14,-14,-14,-14,-12,-12
136,-22,-22,-22,-22,-22,-22,-21,-21
138,-12,-12,-11,-11,-12,-12,-11,-11
139,-12,-12,-12,-12,-12,-12,-11,-11
140,-23,-23,-23,-23,-23,-23,-21,-21
141,-19,-19,-20,-20,-20,-20,-20,-20
142,-15,-15,-15,-15,-16,-16,-13,-13
143,-15,-15,-16,-16,-15,-15,-13,-13
144,-32,-32,-35,-35,-35,-35,-29,-29
145,-16,-16,-16,-16,-16,-16,-15,-15
146,-24,-24,-24,-24,-23,-23,-22,-22
148,-11,-11,-12,-12,-12,-12,-9,-9
149,-11,-11,-12,-12,-12,-12,-10,-10
150,-18,-18,-18,-18,-18,-18,-17,-17
151,-17,-17,-18,-18,-17,-17,-16,-16
152,-13,-13,-14,-14,-13,-13,-6,-6
153,-17,-17,-20,-20,-19,-19,-13,-13
154,-24,-24,-24,-24,-24,-34,2,-106
155,-13,-13,-14,-14,-14,-14,-6,-6
156,-22,-22,-23,-23,-23,-23,-22,-22
157,-24,-24,-22,-22,-23,-23,-20,-20
158,-12,-12,-11,-11,-10,-10,-8,-8
159,-25,-25,-27,-27,-27,-27,-26,-26
160,-13,-13,-13,-13,-13,-13,-14,-14
161,-11,-11,-12,-12,-12,-12,-11,-11
162,-13,-13,-15,-15,-16,-16,-15,-15
163,-17,-17,-17,-17,-16,-16,-16,-16
164,-11,-11,-11,-11,-11,-11,-8,-9
165,-10,-10,-10,-10,-10,-10,-8,-8
166,-17,-17,-17,-17,-18,-18,-16,-16
167,-13,-13,-13,-13,-13,-13,-7,-11
168,-12,-12,-12,-12,-12,-12,-11,-11
169,-11,-11,-12,-12,-12,-12,-10,-10
170,-21,-21,-21,-21,-21,-21,-17,-17
171,-9,-9,-9,-9,-9,-9,-8,-8
172,-12,-12,-13,-13,-13,-13,-13,-13
173,-9,-9,-10,-10,-10,-8,1,-4
174,-24,-24,-25,-25,-25,-25,-25,-25
175,-18,-18,-18,-18,-18,-18,-17,-17
176,-16,-16,-16,-16,-15,-15,-14,-14
177,-17,-17,-17,-17,-16,-16,-11,-11
178,-13,-13,-14,-14,-14,-14,-10,-9
180,-11,-11,-11,-11,-11,-11,-10,-10
181,-14,-14,-14,-14,-14,-14,-13,-13
182,-11,-11,-12,-12,-12,-12,-9,-9
183,-16,-16,-16,-16,-15,-15,-8,-8
184,-23,-23,-23,-23,-23,-23,-22,-22
185,-9,-9,-9,-9,-8,-8,-4,-6
186,-11,-11,-11,-11,-11,-9,0,-6
191,-18,-18,-19,-19,-18,-18,-15,-15
192,-10,-10,-11,-11,-12,-12,-11,-11
193,-42,-42,-42,-42,-42,-42,-41,-41
199,-14,-14,-16,-16,-16,-16,-9,-9
200,-8,-8,-8,-8,-8,-8,-3,-4
202,-23,-23,-23,-23,-21,-21,-13,-13
203,-10,-10,-8,-8,-6,-6,-2,-6
204,-13,-13,-15,-15,-14,-14,-12,-12
206,-24,-24,-21,-21,-21,-21,-20,-20
207,-12,-12,-12,-12,-12,-12,-11,-11
208,-13,-13,-14,-14,-14,-14,-13,-13
209,-21,-21,-21,-21,-22,-22,-21,-21
210,-13,-13,-14,-14,-14,-14,-11,-11
211,-22,-22,-22,-22,-22,-22,-21,-21
212,-11,-11,-11,-11,-11,-11,-10,-10
213,-24,-24,-24,-24,-24,-24,-20,-20
214,-22,-22,-21,-21,-19,-19,-1,-18
215,-37,-37,-36,-36,-36,-36,-30,-29
216,-19,-19,-20,-20,-20,-20,-14,-14
217,-9,-9,-10,-10,-11,-11,0,0
218,-14,-14,-14,-14,-13,-13,-11,-11
219,-19,-19,-21,-21,-21,-21,-18,-16
220,-18,-18,-18,-18,-18,-18,-16,-16
221,-11,-11,-11,-11,-11,-11,-10,-10
222,-29,-29,-28,-28,-29,-29,-29,-29
223,-16,-16,-16,-16,-16,-16,-7,-7
224,-11,-11,-11,-11,-12,-12,-11,-11
225,-21,-21,-21,-21,-21,-21,-18,-18
226,-16,-16,-15,-15,-15,-15,-15,-15
227,-15,-15,-19,-19,-19,-19,-15,-15
228,-27,-27,-28,-28,-29,-29,-29,-29
229,-15,-15,-13,-13,-14,-14,-12,-9
230,-20,-20,-21,-21,-21,-21,-20,-20
231,-21,-21,-19,-19,-19,-19,-19,-19
232,-11,-11,-11,-11,-11,-11,-11,-11
233,-13,-13,-14,-14,-15,-15,-14,-14
234,-16,-16,-17,-17,-17,-17,-12,-12
