result,value
Cycles,4.0
Hours,8.0
Moved Bikes,2791.0
Rebalanced Bikes,543.0
Time Average Cost,11.333
Time Average Conditional Drift,-9480.5
Objective Function,-9478.233
Demand Supply Gap Decrement,4.0
