result,value
Cycle Count,1.0
Simulation Hours,4.0
Moved Bike Total Count,1285.0
Rebalanced Bike Total Count,0.0
Time Average Cost,0.0
Time Average Conditional Drift,7722.0
Objective Function,7722.0
